אְתָא | ʔǝtā | to come. verb.
בְנָא | bǝnā | to build. verb.
הְוָה | hǝwāh | to be. verb. with lǝ-, to become: Hǝwāh Šāʔul lǝ-malkā Saul became king; note also Hǝwāh leh qinyānā He had property.
חְדִי | ḥǝdi | to rejoice (ʕal over). verb.
חְזָא | ḥǝzā | to see. verb.
מְנָא | mǝnā | to count. verb.
קְנָא | qǝnā | to acquire, purchase. verb.
קְרָא | qǝrā | to call, summon (lǝ-); to name (x y: yāt šom/šem x y; e.g., qǝrā yāt šom bǝreh Yiṣḥāq he named his son Isaac). verb.
רְעָא | rǝʕā | to pasture, tend. verb.
שְתִי | šǝti | to drink. verb.
יִצחָק | Yiṣḥāq | Isaac. noun.
