אְכַל | ʔǝkal | to eat. verb.
גְזַר | gǝzar | to cut; to circumcise. verb. gǝzar qǝyām ʕim to make a covenant with.
מְסַר | mǝsar | to hand over (to, into the hand of: bǝ-yad, lǝ-, or qǝdām). verb.
נְטַר | nǝṭar | to guard, preserve, keep, observe. verb.
רְדַף | rǝdap | to pursue (obj. with bātar). verb.
רְהַט | rǝhaṭ | to run. verb. (also rǝheṭ; see lesson 5)
שְבַק | šǝbaq | to leave, abandon, forsake; with lǝ-: to forgive. verb.
הֵיכְלָא | hekǝlā | palace, temple. noun.
עֻולֵימָא | ʕulemā | boy, lad; servant, attendant. noun.
עֻולֵימְתָא | ʕulemǝtā | girl, maiden. noun.
קְיָמָא | qǝyāmā | treaty, covenant. noun. also qiyāmā; gǝzar qǝyām ʕim to make a covenant with.
בְגֹו | bǝ-go | in, within, in the midst of, prep. (with suffix bǝ-gawwi, etc.)
מִגֹו | mig-go | from within, from the midst of, prep. (with suffix mig-gawwi, etc.)
בְיַד | bǝ-yad | into the hand/power of, prep.
בָתַר | bātar | after, behind (both spatial and temporal meanings), prep. pronominal suffixes with bātar are given in §7.2.
כְ | kǝ- | like, as, according to, prep. kǝ- does not take pronominal suffixes.
עִם | ʕim | with, together with, prep. (with suffix ʕimmi, etc.)
קְדָם | qǝdām | before, in the presence of, prep. min qǝdām from before, from the presence of; pronominal suffixes with qǝdām are given in §7.2.
