דְחֵיל | dǝḥel | to be afraid, fear (object usually with min or min qǝdām). verb.
יְתֵיב | yǝteb | to sit, dwell, remain, settle. verb.
נְסֵיב/נְסַב | nǝseb/nǝsab | to take. verb. (the most general verb of ‘taking’; includes all the meanings noted for dǝbar as well)
סְגֵיד | sǝged | to bow down. verb.
סְלֵיק | sǝleq | to go up, ascend (intrans.). verb.
קְרֵיב | qǝreb | to approach, draw near (to: lǝ-, lǝwāt); to be on the point of (+ infinitive). verb. qǝreb bǝ- to come into contact with, touch.
תְקֵיף | tǝqep | to grow strong, be strong; to be severe; to become rich, wealthy. verb. tǝqep lǝ-N N became angry (e.g., tǝqep lǝ-malkā the king became angry; tǝqep li I became angry).
דָרֹומָא | dāromā | the south. noun. mid-dāromā lǝ- on the south of.
כַפנָא | kapnā | famine, hunger. noun.
מַדבְרָא | madbǝrā | desert, steppe, wilderness. noun.
מַדנְחָא | madnǝḥā | the east. noun. also madinḥā; lǝ-madnǝḥā east(ward); mim-madnǝḥā on the east; mim-madnaḥ (or madnǝḥā) lǝ- on/to the east of.
מַערְבָא | maʕrǝbā | the west. noun. also maʕarḇā; mim-maʕrǝbā on the west.
מִצרַיִם | Miṣráyim | Egypt. noun.
צִיפֻונָא | ṣippunā | the north. noun.
