רְחֵים | rǝḥem | to love. verb.
אַמתָא | ʔamṯā | female servant, slave. noun.
אַתָנָא/אְתָנָא | ʔattānā/ʔǝtānā | female donkey. noun.
בְעִירָא | bǝʕirā | cattle. noun.
בַעלָא | baʕlā | husband. noun.
בְרָא | bǝrā | son. noun.
בְרַתָא | bǝrattā | daughter. noun.
גִינְתָא | ginnǝtā | garden. noun.
גַמלָא | gamlā | camel. noun.
חְמָרָא | ḥǝmārā | male donkey. noun.
חַקלָא | ḥaqlā | field. noun.
חַרבָא | ḥarbā | sword. noun. (feminine)
עַבדָא | ʕabdā | male servant, slave; attendant. noun.
עָנָא | ʕānā | flock(s) (sheep and goats). noun. feminine; sometimes construed as feminine plural.
רֻוגזָא | rugzā | anger, wrath. noun. tǝqep rugzeh bǝ- he became angry at/with.
תֹורָא | torā | bull, ox. noun.
תֹורְתָא | torǝtā | cow. noun.
