זְבַן | zǝban | to buy, purchase. verb.
נְפֵיש | nǝpeš | to become numerous, widespread. verb.
שְכֵיב | šǝkeb | to lie down. verb.
שְלַח | šǝlaḥ | to send, to send a message/messenger. verb.
שְמַע | šǝmaʕ | to hear. verb.
אַתרָא | ʔatrā | place, site, location. noun. pl. -ayyā.
דַהבָא | dahbā | gold. noun.
מָנָא | mānā | vessel, utensil. noun. also spelled with middle aleph; pl. -ayyā.
נְבִיָא | nǝbiyā | prophet. noun. pl. -ayyā.
קָלָא | qālā | voice, sound. noun. pl. -ayyā.
תְחֹות | tǝḥot | under, beneath, prep. with pl. suffixes; see §7.2.
אָן | ʔān | where?, adv. (interrogative)
לְאָן | lǝ-ʔān | whither?, adv. (interrogative)
מְנָן | mǝnān | whence?, adv. (interrogative)
